part name, amount, price, link, note,
Rotary encoder EC24, 2, 1.32 USD, https://de.aliexpress.com/item/1005006894514858.html?spm=a2g0o.productlist.main.2.7f3151dbLgFP04&algo_pvid=9129263f-29b5-45c7-9270-6505827be216&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, look out for the EC numer it is importent for the resolution of the encoder 
Keyswitches, 120 (54+66), 21.12 USD, https://de.aliexpress.com/item/1005006091988869.html?spm=a2g0o.productlist.main.11.54f5116676VXSy&algo_pvid=5683f259-8333-46de-8018-3bd4b785d0da&pdp_ext_f=%7B%22order%22%3A%22205%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Keycaps, 120 (54+66), 7.88 US, https://de.aliexpress.com/item/32842379355.html?spm=a2g0o.productlist.main.13.19dd3939CSNGEC&algo_pvid=53737e4f-6131-4c20-955c-c0b48daf2625&pdp_ext_f=%7B%22order%22%3A%2286%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, please look where you can buy matching quantities 120 Keys is larger than normal keyboard size
hotswap socets, 120 (54+66), 12.92 USD, https://de.aliexpress.com/item/1005007476614771.html?gatewayAdapt=glo2deu, ----,
diodes SOD-123, 120 (54+66), 2.74 USD, https://de.aliexpress.com/item/1005004664827360.html?spm=a2g0o.productlist.main.2.730d3027Xsqwva&algo_pvid=82ad0fed-5a2a-47ba-b2ca-b1062569d1e1&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, ----,
headphone jack, 2pcs, 1.16 USD, https://de.aliexpress.com/item/4000661908135.html?spm=a2g0o.productlist.main.6.13bb1c8aFr9YPX&algo_pvid=a0e2646d-b512-4a32-a7a1-672e32ca9da6&pdp_ext_f=%7B%22order%22%3A%22166%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, ----,
magnets 10mmx2mm, 8, 1.16 USD, https://de.aliexpress.com/item/1005009238165372.html?spm=a2g0o.productlist.main.5.22047957vqqfP9&algo_pvid=c622bad2-8ed7-4326-9252-e0228163b2aa&pdp_ext_f=%7B%22order%22%3A%22599%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A,
ESP32-S3, 2, 15.12 USD, https://de.aliexpress.com/item/1005008209644199.html?spm=a2g0o.productlist.main.2.450b6619Wqsygq&algo_pvid=b6d6b6cd-dfe1-4b51-a066-5df1bfd08fe2&pdp_ext_f=%7B%22order%22%3A%2263%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, ----,
0.96" OLED, 1, 1.16 USD, https://de.aliexpress.com/item/1005006153887805.html?spm=a2g0o.productlist.main.4.78c6NVUJNVUJnM&aem_p4p_detail=20250731095618221437588698900003594592&algo_pvid=1ea1ca72-3c62-47c2-bed4-becdd3fbee01&pdp_ext_f=%7B%22order%22%3A%2293%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=20250731095618221437588698900003594592_1, ----,
PCB LEFT Main, 1, ~ 5 USD,  https://jlcpcb.com/, price is subject to JLCs review,
PCB RIGHT BACK, 1, ~ 5 USD,  https://jlcpcb.com/, price is subject to JLCs review,
, total, 79.67 USD, , ,
